City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,rikitea,PF,-23.1203,-134.9692,77.79,73,78,13.11,light rain,2022-01-06 23:43:01
1,khatanga,RU,71.9667,102.5,-23.73,100,100,5.57,overcast clouds,2022-01-06 23:43:01
2,new norfolk,AU,-42.7826,147.0587,72.66,89,100,2.35,overcast clouds,2022-01-06 23:43:02
3,busselton,AU,-33.65,115.3333,70.05,57,0,16.11,clear sky,2022-01-06 23:43:02
4,avarua,CK,-21.2078,-159.775,82.45,78,100,6.91,overcast clouds,2022-01-06 23:43:03
5,hithadhoo,MV,-0.6,73.0833,80.62,78,100,6.42,overcast clouds,2022-01-06 23:43:03
6,sumter,US,28.7086,-82.0831,68.99,70,15,5.61,few clouds,2022-01-06 23:43:04
7,barrow,US,71.2906,-156.7887,-7.58,84,0,10.36,clear sky,2022-01-06 23:41:26
8,arlit,NE,18.7369,7.3853,62.15,17,18,9.64,few clouds,2022-01-06 23:43:04
9,ajaccio,FR,42.0,8.9167,43.29,93,0,6.91,clear sky,2022-01-06 23:43:04
10,pevek,RU,69.7008,170.3133,-10.52,100,90,1.03,overcast clouds,2022-01-06 23:43:05
11,cockburn town,TC,21.4612,-71.1419,78.98,74,2,17.94,clear sky,2022-01-06 23:38:24
12,zwedru,LR,6.0667,-8.1281,73.54,90,8,1.77,clear sky,2022-01-06 23:43:05
13,yulara,AU,-25.2406,130.9889,78.64,21,0,18.41,clear sky,2022-01-06 23:43:05
14,pauini,BR,-7.7136,-66.9764,72.46,99,99,1.81,overcast clouds,2022-01-06 23:43:06
15,thompson,CA,55.7435,-97.8558,-18.18,93,51,7.23,broken clouds,2022-01-06 23:43:06
16,jamestown,US,42.097,-79.2353,24.39,72,100,4.0,overcast clouds,2022-01-06 23:43:06
17,kjopsvik,NO,68.097,16.3742,24.67,93,84,6.71,broken clouds,2022-01-06 23:43:07
18,baiyin,CN,36.5583,104.2081,11.28,81,34,2.59,scattered clouds,2022-01-06 23:43:07
19,enugu,NG,6.4402,7.4943,75.06,59,6,5.35,clear sky,2022-01-06 23:43:07
20,iracoubo,GF,5.4802,-53.2011,76.44,89,93,13.0,overcast clouds,2022-01-06 23:43:08
